Rank,Title,Rating,Image_URL,Episodes,Dates,URL
57,Evangelion: 3.0+1.0 Thrice Upon a Time,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/1422/113533.jpg?s=1e4f4aa0e597b1c1f082779ab9baa2fc,Movie (1 eps),Mar 2021 - Mar 2021,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
58,Hajime no Ippo: New Challenger,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/8/56617.jpg?s=4c8a3a8180c114c3771eb183e5318a0e,TV (26 eps),Jan 2009 - Jul 2009,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
59,Howl no Ugoku Shiro,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/5/75810.jpg?s=2b3056507119467116017b42d3e1da8b,Movie (1 eps),Nov 2004 - Nov 2004,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
60,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/1764/106659.jpg?s=aab19d0f19e345e223dc26542ac3a28f,TV (12 eps),Apr 2020 - Jun 2020,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
61,Haikyuu!! Second Season,8.65,https://cdn.myanimelist.net/r/50x70/images/anime/9/76662.jpg?s=06ccfffc7b27ac5532d268b9934a224a,TV (25 eps),Oct 2015 - Mar 2016,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
62,Natsume Yuujinchou Shi,8.65,https://cdn.myanimelist.net/r/50x70/images/anime/3/37449.jpg?s=2bb045b3120e6a3a23257bb39689ae30,TV (13 eps),Jan 2012 - Mar 2012,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
63,Tengen Toppa Gurren Lagann,8.64,https://cdn.myanimelist.net/r/50x70/images/anime/4/5123.jpg?s=15bb64e0c8b13acfa5d0761308b66f59,TV (27 eps),Apr 2007 - Sep 2007,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
64,Natsume Yuujinchou Roku,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/6/84416.jpg?s=931f8a6bfc42adf9257eeb7641bad75e,TV (11 eps),Apr 2017 - Jun 2017,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
65,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/1613/102179.jpg?s=9b762a892eac987081bada93be8d3bdc,Movie (1 eps),Jun 2019 - Jun 2019,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
66,Shingeki no Kyojin Season 3,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/1173/92110.jpg?s=410d006fea0608544e9861a6f261c692,TV (12 eps),Jul 2018 - Oct 2018,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
67,Death Note,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/9/9453.jpg?s=b89e80691ac5cc0610847ccbe0b8424a,TV (37 eps),Oct 2006 - Jun 2007,https://myanimelist.net/anime/1535/Death_Note
68,One Piece,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/6/73245.jpg?s=f792b8c9e28534ae455d06b15e686a14,TV (? eps),Oct 1999 -,https://myanimelist.net/anime/21/One_Piece
69,Ping Pong the Animation,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/10/58041.jpg?s=fbfd98389b5a6f1a27979446e3f07abe,TV (11 eps),Apr 2014 - Jun 2014,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
70,Suzumiya Haruhi no Shoushitsu,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1248/112352.jpg?s=e62fda44bb62e1b938570096c39f9d05,Movie (1 eps),Feb 2010 - Feb 2010,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
71,Mushishi Zoku Shou: Suzu no Shizuku,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/9/72689.jpg?s=58cb067cc48352b42e376589c0b4dfcc,Movie (1 eps),May 2015 - May 2015,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
72,Ookami Kodomo no Ame to Yuki,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/9/35721.jpg?s=3cb7f7062c2ef1c69ab18d7e3c04af2b,Movie (1 eps),Jul 2012 - Jul 2012,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
73,Kizumonogatari II: Nekketsu-hen,8.59,https://cdn.myanimelist.net/r/50x70/images/anime/1981/112812.jpg?s=be1337b450cee892a1083242c5e526c2,Movie (1 eps),Aug 2016 - Aug 2016,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
74,Hajime no Ippo: Rising,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/6/56147.jpg?s=7e50339d044aed8909d36bb9afa331d3,TV (25 eps),Oct 2013 - Mar 2014,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
